357413.180049535,3462295.83702431,29,SE115_01-03F_i_001.jpg
357415.345709315,3462294.75436682,28.9,SE115_01-03F_i_002.jpg
357418.234699539,3462293.65080005,28.7,SE115_01-03F_i_003.jpg
357420.397500181,3462292.35753315,28.7,SE115_01-03F_i_004.jpg
357422.563161373,3462291.27487722,28.7,SE115_01-03F_i_005.jpg
357424.728672473,3462290.18113698,28.7,SE115_01-03F_i_006.jpg
357426.891474588,3462288.88787148,28.8,SE115_01-03F_i_007.jpg
357429.777607633,3462287.57369751,29,SE115_01-03F_i_008.jpg
357429.044607218,3462287.58365095,27,SE115_01-03F_i_009.jpg
357426.894334529,3462289.09848197,26.9,SE115_01-03F_i_010.jpg
357424.728672473,3462290.18113698,26.8,SE115_01-03F_i_011.jpg
357422.563161373,3462291.27487722,26.8,SE115_01-03F_i_012.jpg
357420.400360255,3462292.56814365,26.8,SE115_01-03F_i_013.jpg
357418.234699539,3462293.65080005,26.9,SE115_01-03F_i_014.jpg
357416.072049949,3462294.95515218,27,SE115_01-03F_i_015.jpg
357413.185769979,3462296.2582453,27.1,SE115_01-03F_i_016.jpg
357413.185769979,3462296.2582453,25.1,SE115_01-03F_i_017.jpg
357416.074910112,3462295.16576268,25,SE115_01-03F_i_018.jpg
357418.237559657,3462293.86141055,25,SE115_01-03F_i_019.jpg
357420.400360255,3462292.56814365,25,SE115_01-03F_i_020.jpg
357422.563161373,3462291.27487722,25,SE115_01-03F_i_021.jpg
357424.728672473,3462290.18113698,25,SE115_01-03F_i_022.jpg
357426.891474588,3462288.88787148,25,SE115_01-03F_i_023.jpg
357429.044607218,3462287.58365095,25,SE115_01-03F_i_024.jpg
357462.859949876,3462316.73738024,21.8,SE115_01-03F_i_025.jpg
357426.891474588,3462288.88787148,23.2,SE115_01-03F_i_026.jpg
357424.728672473,3462290.18113698,23.2,SE115_01-03F_i_027.jpg
357422.563161373,3462291.27487722,23.2,SE115_01-03F_i_028.jpg
357420.400360255,3462292.56814365,23.2,SE115_01-03F_i_029.jpg
357418.237559657,3462293.86141055,23.1,SE115_01-03F_i_030.jpg
357416.077770276,3462295.37637317,23.1,SE115_01-03F_i_031.jpg
357418.137140313,3462339.75107056,21.8,SE115_01-03F_i_032.jpg
357418.122839477,3462338.69801802,16.4,SE115_01-03F_i_033.jpg
357416.077770276,3462295.37637317,21.2,SE115_01-03F_i_034.jpg
357418.240570309,3462294.0831058,21.3,SE115_01-03F_i_035.jpg
357420.400360255,3462292.56814365,21.3,SE115_01-03F_i_036.jpg
357422.566021402,3462291.48548771,21.4,SE115_01-03F_i_037.jpg
357424.728672473,3462290.18113698,21.4,SE115_01-03F_i_038.jpg
357426.891474588,3462288.88787148,21.3,SE115_01-03F_i_039.jpg
357429.044607218,3462287.58365095,21.2,SE115_01-03F_i_040.jpg
357441.526385918,3462297.35903224,16.4,SE115_01-03F_i_041.jpg
357431.296366867,3462292.84148103,18.4,SE115_01-03F_i_042.jpg
357424.728672473,3462290.18113698,19.5,SE115_01-03F_i_043.jpg
357422.566021402,3462291.48548771,19.5,SE115_01-03F_i_044.jpg
